# Varianti regionali italiane per termini automobilistici
# Formato: variante_regionale=termine_standard,regione

# Nord Italia
macchina=automobile,nord
auto=automobile,nord
vettura=automobile,nord
motore=propulsore,nord
freni=impianto frenante,nord
gomme=pneumatici,nord
cerchioni=cerchi,nord
paraurti=bumper,nord
cofano=vano motore,nord
baule=portabagagli,nord
cruscotto=plancia,nord
volante=sterzo,nord
marce=cambio,nord
frizione=clutch,nord
acceleratore=gas,nord
fari=luci,nord
tergicristalli=spazzole,nord
clacson=avvisatore acustico,nord
antifurto=allarme,nord
bollo=tassa di circolazione,nord
assicurazione=polizza,nord
revisione=controllo tecnico,nord
tagliando=manutenzione programmata,nord
carrozziere=lattoniere,nord
meccanico=riparatore,nord
gommista=pneumaticista,nord
autolavaggio=lavaggio auto,nord
distributore=stazione di servizio,nord
benzina=carburante,nord
gasolio=diesel,nord
metano=gas naturale,nord
gpl=gas di petrolio liquefatto,nord

# Lombardia
macchina=automobile,lombardia
maghina=automobile,lombardia
motùr=motore,lombardia
frèn=freni,lombardia
gòm=gomme,lombardia
paraurt=paraurti,lombardia
cufanù=cofano,lombardia
baùl=baule,lombardia
ulant=volante,lombardia
marsc=marce,lombardia
far=fari,lombardia
spazzul=tergicristalli,lombardia
clacson=avvisatore acustico,lombardia
benżina=benzina,lombardia
gażöli=gasolio,lombardia

# Piemonte
macchina=automobile,piemonte
vitura=automobile,piemonte
moteur=motore,piemonte
fren=freni,piemonte
gome=gomme,piemonte
paraurt=paraurti,piemonte
cofano=cofano,piemonte
baul=baule,piemonte
volan=volante,piemonte
marce=marce,piemonte
far=fari,piemonte
tergicristal=tergicristalli,piemonte
clacson=avvisatore acustico,piemonte
benzina=benzina,piemonte
gasolio=gasolio,piemonte

# Veneto
machina=automobile,veneto
auto=automobile,veneto
motor=motore,veneto
freni=freni,veneto
gome=gomme,veneto
paracolpi=paraurti,veneto
cofano=cofano,veneto
baul=baule,veneto
volante=volante,veneto
marce=marce,veneto
fari=fari,veneto
spasole=tergicristalli,veneto
trombe=clacson,veneto
benzina=benzina,veneto
gasolio=gasolio,veneto

# Liguria
macchina=automobile,liguria
auto=automobile,liguria
motô=motore,liguria
freni=freni,liguria
gumme=gomme,liguria
paraùrti=paraurti,liguria
cufano=cofano,liguria
baule=baule,liguria
volante=volante,liguria
marce=marce,liguria
fari=fari,liguria
tergicristalli=tergicristalli,liguria
clacson=clacson,liguria
benzinn-a=benzina,liguria
gasolio=gasolio,liguria

# Emilia-Romagna
machina=automobile,emilia-romagna
auto=automobile,emilia-romagna
mutor=motore,emilia-romagna
fren=freni,emilia-romagna
gom=gomme,emilia-romagna
paraurt=paraurti,emilia-romagna
cufan=cofano,emilia-romagna
baul=baule,emilia-romagna
vulant=volante,emilia-romagna
marci=marce,emilia-romagna
farel=fari,emilia-romagna
spasul=tergicristalli,emilia-romagna
tramba=clacson,emilia-romagna
benzina=benzina,emilia-romagna
gasoli=gasolio,emilia-romagna

# Centro Italia
macchina=automobile,centro
auto=automobile,centro
vettura=automobile,centro
motore=propulsore,centro
freni=impianto frenante,centro
gomme=pneumatici,centro
cerchioni=cerchi,centro
paraurti=bumper,centro
cofano=vano motore,centro
baule=portabagagli,centro
cruscotto=plancia,centro
volante=sterzo,centro
marce=cambio,centro
frizione=clutch,centro
acceleratore=gas,centro
fari=luci,centro
tergicristalli=spazzole,centro
clacson=avvisatore acustico,centro
antifurto=allarme,centro
